ts	phase	decision	why	evidence	result
2026-09-02T14:40:45Z	frame	named the stop predicate: required PR 8622 checks green on current head, then EC2 NVMe throughput shows Passive reclaim is faster than pre-reclaim; never merge	user asked to loop until CI passes then prove the boost on the instance	https://github.com/tursodatabase/turso/pull/8622 HEAD f11c74c16	predicate open; Elle list-append mvcc-passive is the only red check
2026-09-02T14:40:45Z	babysit	classified as drive on gh, frontier is PR 8622 only, no Origin on PATH	Babysit step 1: get CI green is drive; user forbade merge so stop at green not READY merge	command -v origin failed; gh pr checks 8622	mode drive, forge gh, one PR stack
2026-09-02T14:40:45Z	ci	classified Elle list-append mvcc-passive fail as own-diff unique miss, not flake	seed 15772350348798203798 G-nonadjacent-item: T1 saw k1 append 70 then k0 as empty after T2 created it; later t=296 reads k0 as 11,62	.audit/elle-f11c74c16/ run 33635278103 job 100264491855	do not job-retry; write a unit that matches k0 empty after reclaim
2026-09-02T14:46:29Z	ci	kept a sequential Passive reclaim unique-lookup fence; discarded the fake-stamp table probe	Elle k0 empty is not sequential reclaim. Insert, upsert, and second PASSIVE all still see k0. Fake table stamp never retired because backfill_floor stayed at origin.	core/mvcc/database/tests.rs test_passive_finalize_reclaim_text_pk_unique_lookup_still_sees_key	predicate still open; next unit must be concurrent or skip-write
2026-09-02T14:46:29Z	loop	armed a 10 minute heartbeat; no CI watcher because the current run is already a terminal Elle fail	a watcher on a finished fail would wake immediately and double-run. Next event is a new push or the heartbeat.	AGENT_LOOP_WAKE_ci-ec2	self-pacing; predicate open
2026-09-02T15:02:02Z	ci	mid-seek Passive checkpoint unique lookup passed; started a local CI-shaped Elle run as the next check	T1 empty k0 is not sequential reclaim and not SeekStart-vs-checkpoint with a pinned reader. CI Elle uses allocation-fault-probability 0.05 by default.	.audit/run-elle-passive.sh .audit/elle-loop-tick2	predicate open; waiting on local SI check
2026-09-02T15:03:42Z	ci	local Elle SI check failed with an internal anomaly, not the CI G-nonadjacent cycle	same txn read k7 as empty then later as a long list. k0 stayed stable in that txn. 25 alloc faults. seed 16581823283195444785.	.audit/elle-loop-tick2/elle-cli.txt	predicate open; mid-txn unique miss on one key is now the local lead
2026-09-02T15:17:06Z	ci	local Elle fails without alloc faults and the seed replays the same k6 unique miss	seed 7705886949262960907 reads k6 as empty at t=1658 after append 19 at t=58. Same history on replay. Checker is .audit/check-elle-unique-miss.py.	.audit/elle-loop-tick3-replay/elle-history.edn	predicate open; deterministic local SI fail
2026-09-02T15:25:32Z	ci	red rust test reproduces Elle k6 unique miss on seed 7705886949262960907	test_elle_passive_seed_keeps_committed_text_pk_on_unique_lookup fails at event 1213, same as CLI. Sequential upsert-mid-seek units still pass. Checker uses invoke time so concurrent creates are not false misses.	testing/concurrent-simulator/regression_tests_cross_platform.rs	predicate open; have red unit; no fix yet
2026-09-02T15:28:43Z	ci	table stamp-after-write did not fix the unique miss	seed still empty-reads a committed TEXT PK, now k2 at event 445. Reverted. Diagnostic on the original seed: table eq seek TableRowId(4) won btree Int(12).	core/mvcc/cursor.rs PickWinner	predicate open; red seed test kept
2026-09-02T15:35:08Z	ci	table SkipMap refresh at PickWinner found a 515-byte rowid 4 but Elle still recorded k6 []	eq-only table seek for 4 had skipmap occupy and btree_valid false. Returning Found on that row did not fill the SELECT. Next look at the unique index seek for k6.	core/mvcc/cursor.rs PickWinner	predicate open; red seed test kept; cursor fallback discarded
2026-09-02T15:39:24Z	ci	eq-only table occupy-without-covers did not clear the k6 miss	seed still fails at event 1213. Transfer and sequential unique tests stayed green. Reverted. Index seek path is still the open hole.	core/mvcc/database/mod.rs find_last_visible_version	predicate open; red seed test kept
2026-09-02T15:53:47Z	ci	k6 unique-index seeks Found; table DeferredSeek of rowid 4 is the miss	Trace showed one table NotFound: SkipMap gone, btree at 12. Occupy-on-eq-seek plus table stamp-after-write moved the miss to k2 at event 445. Same class as stamp-after-write alone. Reverted both.	.audit/k6-seeks.log:913	predicate open; red seed test kept at k6 1213
2026-09-02T16:13:32Z	ci	k2 miss is Column Null after table seek Found; SkipMap emptied before current_row	Unique index Found. Table rowid 2 Found on SkipMap. One current_row None in_btree=false. Occupy-only and a post-seek snapshot still lost the row because Passive GC mutates the chain in place. Next: clone the occupying payload under the version read lock inside seek_rowid.	.audit/k-seeks.log current_row None rowid=2	predicate open; stamp-after-write and occupy-only table read kept locally
2026-09-02T16:29:37Z	ci	seed test green; pushed lock-held table payload snapshot	k2 Column Null was GC emptying the live chain after seek. Eq-only seek copies the occupying row under the version lock. Table stamp-after-write kept. Transfer and unique/idxdelete fences passed.	b78fc6c11	predicate open; waiting on PR 8622 CI; never merge
