ts	phase	decision	why	evidence	result
2026-09-02T09:35:26Z	frame	done means unique-miss test plus transfer plus Passive reclaim plus Elle mvcc-passive	speedup is Rule 3 retiring materialized currents, not unique-index fallthrough on a readable root	PR 8622	open
2026-09-02T09:35:26Z	unit1	btree_covers fallthrough only when this version materialized_at is reachable	is_btree_readable_at was true for an empty unique index after CREATE TABLE	core/mvcc/database/mod.rs btree_covers_chain_for_tx	unique SELECT still empty, transfer not yet re-run at this step
2026-09-02T09:35:26Z	unit2	index read uses occupy until btree covers, table read stays is_visible_to	table occupy made transfer lose 45 of 50000. index occupy turns empty SELECT into Null	test_gc_retired_text_pk_upsert_does_not_fork, test_passive_concurrent_transfer_preserves_sum_and_count	transfer green, unique SELECT is Null not 1, upsert does not append
2026-09-02T11:50:00Z	unit2	table occupy until uncovered; eq-only prefers btree when already on it; update false inserts beside retired	occupy-first hid checkpointed updates (transfer 49955). retired cannot take set_end so ON CONFLICT UPDATE was a no-op	test_gc_retired_text_pk_upsert_does_not_fork, test_passive_concurrent_transfer_preserves_sum_and_count	unique SELECT 1 then 1,2 one rowid; transfer 50000
2026-09-02T11:50:00Z	unit1v	unique-miss test now checkpoints CREATE TABLE then inserts with checkpoint off	without schema checkpoint the unique root was not readable so occupy hid the Elle miss	fail-before reverted mat check: unique SELECT []	gate holds
2026-09-02T11:50:00Z	unit3	Passive Rule 3 still retires materialized last currents	drop_current_if_in_btree true in gc_incremental	test_gc_retired_current_serves_older_reader_then_reclaims, test_passive_concurrent_transfer_preserves_sum_and_count	pass
2026-09-02T11:44:39Z	elle	sim seed 3508900637602608402 exported history; no empty k9 reads in 202 ok reads	no local JDK for elle-cli; SI verdict waits on PR CI	.audit/elle-history.edn	sim ok, analysis pending
2026-09-02T11:51:39Z	elle	SI invalid on seed 3508900637602608402: lost-update k7 plus cycle-search-timeout	k7 had 26 elems then 160 ok empty unique reads; k9 never emptied	.audit/elle-results	unique-miss remains after Passive materialize
2026-09-02T10:11:00Z	elle-ci	PR 8622 head f8c5e8f Elle list-append mvcc-passive valid? false	anomalies G-single-item internal lost-update; no incompatible-order; seed 7221557237860354466; k6 last nonempty [11 30 43 73 88 94 118 153] at t=524 then empty streak at t=564; internal append 542 then r []	https://github.com/tursodatabase/turso/actions/runs/33616848409/job/100204545379	incompatible-order gone; unique miss remains
2026-09-02T10:11:10Z	unit	quiet Passive checkpoint plus same-txn upsert does not empty k6	CREATE TABLE checkpointed, INSERT, wal_checkpoint PASSIVE, unique SELECT and ON CONFLICT append	test removed after it passed	not the CI hole
2026-09-02T10:11:10Z	elle-local	same CI seed locally: valid? false incompatible-order on k0	two disjoint k0 lists; k6 never emptied; sim not deterministic with alloc faults	.audit/elle-history-ci-seed.edn	fork still lives under Passive
2026-09-02T10:11:10Z	hyp	WriteIndexRow skips when index_id_to_index misses the unique PK, then gc_checkpointed_index_versions still stamps	Passive starts index_id_to_index empty then rebuilds from local schema; skipped writes still get Rule 3	checkpoint_state_machine.rs WriteIndexRow and gc_checkpointed_index_versions	unconfirmed by a failing unit
2026-09-02T10:20:00Z	unit	stamp unique-index current then retire: unique SELECT is []	test_gc_retired_stamped_text_pk_same_txn_sees_own_append fail-before	btree_covers true on empty unique btree	reproduced
2026-09-02T10:22:00Z	fix	unique-index probes occupy even when btree_covers	find_last_visible_index_version and index read_from_table_or_index; table path unchanged	stamped test plus fork plus transfer plus retire-then-reclaim	all four pass
2026-09-02T10:19:32Z	elle	list-append (mvcc-passive) on cae8d602c	job 100210421436 seed 5172959255491582344	{"valid?":true} no anomaly-types	gate 4 met
